Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,62.400002,72.099998,61.136002,70.862000,70.862000,621357500
2018-02-01,70.199997,71.998001,58.952000,68.612000,68.612000,545950000
2018-03-01,69.001999,69.734001,49.641998,53.226002,53.226002,786342500
2018-04-01,51.251999,61.900002,48.917999,58.779999,58.779999,951554000
2018-05-01,58.702000,62.598000,54.683998,56.945999,56.945999,777890500
2018-06-01,57.172001,74.746002,56.768002,68.589996,68.589996,1067125500
2018-07-01,72.014000,72.956001,57.226002,59.627998,59.627998,861641000
2018-08-01,59.598000,77.491997,57.639999,60.332001,60.332001,1386801000
2018-09-01,59.388000,62.992001,50.450001,52.953999,52.953999,980377000
2018-10-01,61.153999,69.431999,49.554001,67.463997,67.463997,1431803500
2018-11-01,67.652000,73.349998,65.000000,70.096001,70.096001,665095500
2018-12-01,72.000000,358.489990,58.818001,66.559998,66.559998,732256000
2019-01-01,61.220001,70.400002,55.855999,61.403999,61.403999,878260500
2019-02-01,61.084000,64.848000,57.754002,63.976002,63.976002,642750500
2019-03-01,61.388000,61.425999,50.891998,55.972000,55.972000,1068967500
2019-04-01,56.523998,59.234001,46.226002,47.737999,47.737999,1153736500
2019-05-01,47.770000,51.669998,36.820000,37.032001,37.032001,1412994000
2019-06-01,37.102001,46.948002,35.397999,44.692001,44.692001,1074853000
2019-07-01,46.042000,53.214001,44.444000,48.321999,48.321999,996683500
2019-08-01,48.529999,48.902000,42.200001,45.122002,45.122002,668953000
2019-09-01,44.816002,50.700001,43.672001,48.174000,48.174000,678876500
2019-10-01,48.299999,68.167999,44.855999,62.984001,62.984001,1139913000
2019-11-01,63.264000,72.239998,61.852001,65.987999,65.987999,788854000
2019-12-01,65.879997,87.061996,65.449997,83.666000,83.666000,1035400000
2020-01-01,84.900002,130.600006,84.342003,130.113998,130.113998,2036092500
2020-02-01,134.738007,193.798004,122.304001,133.598007,133.598007,2365483000
2020-03-01,142.251999,161.395996,70.101997,104.800003,104.800003,2104675000
2020-04-01,100.800003,173.964005,89.279999,156.376007,156.376007,514408800
2020-05-01,151.000000,168.658005,136.608002,167.000000,167.000000,272827500
2020-06-01,171.600006,217.537994,170.820007,215.962006,215.962006,758988700
2020-07-01,216.600006,358.997986,216.100006,286.152008,286.152008,1893612000
2020-08-01,289.839996,500.140015,273.000000,498.320007,498.320007,1557876400
2020-09-01,502.140015,502.489990,329.880005,429.010010,429.010010,1736563100
2020-10-01,440.760010,465.899994,379.109985,388.040009,388.040009,833832100
2020-11-01,394.000000,607.799988,392.299988,567.599976,567.599976,782494200
2020-12-01,597.590027,654.320007,541.210022,609.989990,609.989990,465420500
2020-12-11,615.010010,623.969971,596.799988,609.989990,609.989990,45493684
